,index,Rk,Player,Age,Tm,Pos,GP,G▼,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Season,Keep
493,493,494,Jake Gardiner,29,CAR,D,63,3,16,19,-22,30,1.5,3,0,0,1,8,8,0,78,3.8,1063,16:52,41,42,0,0,,2019-2020,True
494,494,495,Markus Granlund,26,EDM,C,34,3,1,4,-1,14,0.1,3,0,0,1,1,0,0,26,11.5,368,10:50,18,15,25,32,43.9,2019-2020,True
495,495,496,Mike Green,34,TOT,D,50,3,8,11,-34,32,0.6,2,1,0,1,5,3,0,76,3.9,1044,20:53,66,61,0,0,,2019-2020,True
496,496,497,Brendan Guhle,22,ANA,D,26,3,4,7,-3,10,1.3,3,0,0,1,4,0,0,36,8.3,450,17:19,38,16,0,0,,2019-2020,True
497,497,498,Robert Hagg,24,PHI,D,44,3,10,13,15,25,3.3,2,1,0,0,10,0,0,36,8.3,687,15:37,70,122,0,0,,2019-2020,True
498,498,499,Travis Hamonic,29,CGY,D,50,3,9,12,-3,27,2.5,3,0,0,0,9,0,0,83,3.6,1060,21:12,110,39,0,0,,2019-2020,True
499,499,500,Jack Johnson,33,PIT,D,61,3,8,11,2,22,2.7,2,0,1,0,8,0,0,60,5.0,1213,19:53,89,173,0,0,,2019-2020,True
500,500,501,Ross Johnston,25,NYI,LW,32,3,1,4,1,78,0.3,3,0,0,0,1,0,0,16,18.8,256,7:59,14,93,1,0,100.0,2019-2020,True
501,501,502,Caleb Jones,22,EDM,D,37,3,5,8,-1,8,1.6,3,0,0,0,4,1,0,33,9.1,509,13:46,43,23,0,0,,2019-2020,True
502,502,503,Michal Kempny,29,WSH,D,54,3,14,17,13,20,3.5,3,0,0,0,14,0,0,66,4.5,1019,18:52,71,41,0,0,,2019-2020,True
503,503,504,Tom Kuhnhackl,28,NYI,RW,28,3,3,6,-4,2,0.2,3,0,0,1,2,0,1,28,10.7,316,11:18,22,31,0,0,,2019-2020,True
504,504,505,Nick Leddy,28,NYI,D,55,3,17,20,0,14,3.6,2,1,0,0,14,3,0,70,4.3,1161,21:06,70,57,0,0,,2019-2020,True
505,505,506,Brendan Leipsic,25,WSH,LW,61,3,8,11,3,13,0.5,3,0,0,1,7,1,0,49,6.1,559,9:10,20,57,9,12,42.9,2019-2020,True
506,506,507,Esa Lindell,25,DAL,D,64,3,20,23,6,10,5.2,2,1,0,2,11,6,3,86,3.5,1505,23:31,118,82,0,0,,2019-2020,True
507,507,508,Par Lindholm,28,BOS,C,36,3,3,6,6,4,0.5,3,0,0,1,3,0,0,32,9.4,407,11:19,22,19,124,139,47.1,2019-2020,True
508,508,509,Kurtis MacDermid,25,LAK,D,39,3,4,7,-7,43,1.2,3,0,0,0,3,0,1,47,6.4,527,13:31,35,82,0,0,,2019-2020,True
509,509,510,Alec Martinez,32,TOT,D,46,3,11,14,-4,19,2.7,3,0,0,0,8,3,0,67,4.5,984,21:24,103,40,0,0,,2019-2020,True
510,510,511,Charlie McAvoy,22,BOS,D,62,3,24,27,19,41,5.6,3,0,0,1,22,1,1,92,3.3,1426,23:00,120,121,0,0,,2019-2020,True
511,511,512,Tyler Motte,24,VAN,C,28,3,4,7,-4,10,0.2,3,0,0,0,4,0,0,29,10.3,363,12:57,30,95,7,11,38.9,2019-2020,True
512,512,513,Frans Nielsen,35,DET,C,55,3,4,7,-13,8,-0.4,2,0,1,0,2,1,1,81,3.7,761,13:51,31,39,195,229,46.0,2019-2020,True
513,513,514,Markus Nutivaara,25,CBJ,D,34,3,5,8,3,4,2.1,3,0,0,0,4,1,0,43,7.0,541,15:54,33,32,0,0,,2019-2020,True
514,514,515,Joakim Nygard,27,EDM,F,33,3,6,9,0,8,0.7,2,1,0,0,6,0,0,39,7.7,353,10:41,8,18,3,3,50.0,2019-2020,True
515,515,516,Jamie Oleksiak,27,DAL,D,64,3,7,10,-5,37,2.4,3,0,0,1,7,0,0,74,4.1,1013,15:50,57,142,0,0,,2019-2020,True
516,516,517,Dmitry Orlov,28,WSH,D,64,3,23,26,5,32,4.0,2,1,0,2,18,4,1,99,3.0,1421,22:12,77,100,0,0,,2019-2020,True
517,517,518,Morgan Rielly,25,TOR,D,46,3,24,27,6,22,3.7,3,0,0,2,17,7,0,122,2.5,1116,24:15,66,37,0,1,0.0,2019-2020,True
518,518,519,Zac Rinaldo,29,CGY,C,18,3,2,5,0,34,0.6,3,0,0,2,2,0,0,19,15.8,152,8:28,8,64,0,0,,2019-2020,True
519,519,520,Brent Seabrook,34,CHI,D,32,3,1,4,1,8,1.2,2,1,0,1,1,0,0,40,7.5,581,18:09,61,52,0,0,,2019-2020,True
520,520,521,Andrew Shaw,28,CHI,C,26,3,7,10,-4,33,0.5,2,1,0,0,6,1,0,46,6.5,376,14:27,9,74,42,51,45.2,2019-2020,True
521,521,522,Nick Shore,27,TOT,C,58,3,2,5,0,18,-0.1,3,0,0,0,2,0,0,39,7.7,531,9:10,18,53,190,156,54.9,2019-2020,True
522,522,523,Brendan Smith,30,NYR,D,56,3,4,7,-12,60,0.4,2,0,1,0,3,0,1,39,7.7,585,10:27,31,81,1,0,100.0,2019-2020,True
523,523,524,Vladimir Tarasenko,28,STL,RW,10,3,7,10,-2,0,1.0,2,1,0,0,5,2,0,26,11.5,162,16:11,7,17,0,0,,2019-2020,True
524,524,525,Jay Beagle,34,VAN,RW,54,2,5,7,-9,38,-0.6,1,0,1,1,4,0,1,48,4.2,681,12:37,41,68,393,270,59.3,2019-2020,True
525,525,526,Kieffer Bellows,21,NYI,LW,8,2,1,3,3,2,0.5,2,0,0,1,1,0,0,11,18.2,85,10:39,4,12,0,0,,2019-2020,True
526,526,527,Joseph Blandisi,25,PIT,C,21,2,3,5,-3,10,0.3,2,0,0,1,3,0,0,12,16.7,172,8:13,9,26,33,48,40.7,2019-2020,True
527,527,528,Gabriel Bourque,29,WPG,LW,50,2,3,5,-2,7,-0.1,2,0,0,0,3,0,0,33,6.1,436,8:44,39,121,2,3,40.0,2019-2020,True
528,528,529,Johnny Boychuk,36,NYI,D,62,2,9,11,-8,14,1.9,1,1,0,0,9,0,0,94,2.1,1080,17:26,125,128,0,0,,2019-2020,True
529,529,530,Jonas Brodin,26,MIN,D,64,2,25,27,18,18,5.3,2,0,0,0,22,1,2,95,2.1,1377,21:31,106,38,0,0,,2019-2020,True
530,530,531,Dennis Cholowski,21,DET,D,34,2,6,8,-27,6,0.1,1,1,0,1,2,4,0,49,4.1,668,19:38,35,15,0,0,,2019-2020,True
531,531,532,Connor Clifton,24,BOS,D,30,2,0,2,4,12,1.1,2,0,0,0,0,0,0,20,10.0,434,14:29,32,85,0,0,,2019-2020,True
532,532,533,Andrew Cogliano,32,DAL,LW,63,2,11,13,2,28,0.5,2,0,0,0,11,0,0,63,3.2,791,12:33,27,79,16,19,45.7,2019-2020,True
533,533,534,Austin Czarnik,27,CGY,C,8,2,1,3,1,0,0.4,1,1,0,0,1,0,0,9,22.2,82,10:11,2,1,2,4,33.3,2019-2020,True
534,534,535,Jacob de La Rose,24,TOT,LW,48,2,7,9,1,8,0.4,2,0,0,0,7,0,0,46,4.3,514,10:43,16,110,117,155,43.0,2019-2020,True
535,535,536,Michael Del Zotto,29,ANA,D,42,2,11,13,1,14,2.5,2,0,0,0,10,1,0,50,4.0,769,18:18,50,90,0,0,,2019-2020,True
536,536,537,Adam Erne,24,DET,LW,55,2,2,4,-25,28,-1.1,2,0,0,0,2,0,0,61,3.3,648,11:47,24,140,20,13,60.6,2019-2020,True
537,537,538,Taylor Fedun,31,DAL,D,27,2,7,9,3,8,1.9,2,0,0,0,7,0,0,40,5.0,371,13:45,19,16,0,0,,2019-2020,True
538,538,539,Mario Ferraro,21,SJS,D,58,2,7,9,-17,24,1.2,2,0,0,0,6,0,1,57,3.5,907,15:38,53,111,0,0,,2019-2020,True
539,539,540,Morgan Frost,20,PHI,C,20,2,5,7,-3,4,0.3,1,0,1,0,5,0,0,31,6.5,274,13:41,4,4,44,49,47.3,2019-2020,True
540,540,541,Tyler Graovac,26,VAN,C,8,2,0,2,-2,2,0.2,0,2,0,0,0,0,0,5,40.0,50,6:16,3,6,8,14,36.4,2019-2020,True
541,541,542,Andy Greene,37,TOT,D,58,2,11,13,4,14,3.2,2,0,0,0,8,1,2,57,3.5,1145,19:44,145,28,0,0,,2019-2020,True
542,542,543,Noah Gregor,21,SJS,C,23,2,1,3,-3,4,0.1,2,0,0,0,1,0,0,25,8.0,208,9:04,3,39,6,11,35.3,2019-2020,True
543,543,544,Matt Grzelcyk,26,BOS,D,63,2,16,18,13,34,3.9,2,0,0,0,9,6,1,108,1.9,1137,18:03,60,53,0,0,,2019-2020,True
544,544,545,Radko Gudas,29,WSH,D,62,2,13,15,17,40,3.5,2,0,0,1,13,0,0,90,2.2,1042,16:48,75,162,0,0,,2019-2020,True
545,545,546,Carl Gunnarsson,33,STL,D,32,2,5,7,6,16,1.7,2,0,0,0,4,0,1,27,7.4,500,15:38,42,26,0,0,,2019-2020,True
546,546,547,Jansen Harkins,22,WPG,C,26,2,5,7,0,5,0.5,2,0,0,0,5,0,0,22,9.1,266,10:14,9,8,0,5,0.0,2019-2020,True
547,547,548,John Hayden,24,NJD,C,38,2,1,3,-4,75,-0.2,2,0,0,0,1,0,0,35,5.7,366,9:37,24,76,3,14,17.6,2019-2020,True
548,548,549,Matthew Highmore,23,CHI,LW,30,2,3,5,0,6,0.2,2,0,0,0,3,0,0,27,7.4,292,9:44,8,33,1,3,25.0,2019-2020,True
549,549,550,Taro Hirose,23,DET,LW,26,2,5,7,-12,6,0.0,2,0,0,0,0,5,0,21,9.5,326,12:33,16,13,0,5,0.0,2019-2020,True
550,550,551,Justin Holl,28,TOR,D,63,2,16,18,13,37,3.3,2,0,0,0,16,0,0,82,2.4,1151,18:16,71,80,0,0,,2019-2020,True
551,551,552,Stephen Johns,27,DAL,D,13,2,3,5,1,6,1.1,2,0,0,0,3,0,0,24,8.3,232,17:49,17,35,0,0,,2019-2020,True
552,552,553,Duncan Keith,36,CHI,D,55,2,20,22,-8,16,2.8,1,1,0,0,12,8,0,97,2.1,1330,24:11,107,25,0,0,,2019-2020,True
553,553,554,Joel Kellman,25,SJS,F,25,2,4,6,2,4,0.5,2,0,0,1,3,0,1,17,11.8,268,10:44,17,20,87,98,47.0,2019-2020,True
554,554,555,Dmitry Kulikov,29,WPG,D,46,2,8,10,-2,30,1.9,2,0,0,1,8,0,0,49,4.1,919,19:58,71,97,0,0,,2019-2020,True
555,555,556,Oliver Kylington,22,CGY,D,48,2,5,7,-6,16,1.2,2,0,0,0,5,0,0,37,5.4,658,13:42,34,36,0,0,,2019-2020,True
556,556,557,Jacob Larsson,22,ANA,D,53,2,7,9,-10,12,1.3,2,0,0,0,7,0,0,51,3.9,851,16:03,53,29,0,0,,2019-2020,True
557,557,558,Jakob Lilja,26,CBJ,F,34,2,3,5,4,2,0.4,2,0,0,0,3,0,0,23,8.7,339,9:57,24,16,2,2,50.0,2019-2020,True
558,558,559,Hampus Lindholm,26,ANA,D,55,2,20,22,-10,34,3.1,1,1,0,1,11,7,2,109,1.8,1269,23:04,71,34,0,0,,2019-2020,True
559,559,560,Bryan Little,32,WPG,RW,7,2,3,5,4,2,0.7,2,0,0,1,3,0,0,13,15.4,113,16:09,3,3,48,58,45.3,2019-2020,True
560,560,561,Zack MacEwen,23,VAN,C,12,2,1,3,3,11,0.4,2,0,0,0,1,0,0,10,20.0,123,10:14,2,30,0,0,,2019-2020,True
561,561,562,Jordan Martinook,27,CAR,LW,40,2,9,11,-5,16,0.4,2,0,0,1,7,0,2,41,4.9,450,11:14,22,63,52,47,52.5,2019-2020,True
562,562,563,Stefan Matteau,25,CBJ,LW,5,2,1,3,0,0,0.4,2,0,0,0,1,0,0,15,13.3,78,15:34,8,19,0,0,,2019-2020,True
563,563,564,Gerald Mayhew,27,MIN,F,10,2,0,2,6,2,0.4,2,0,0,0,0,0,0,13,15.4,111,11:05,3,9,3,3,50.0,2019-2020,True
564,564,565,Jake McCabe,26,BUF,D,61,2,9,11,-9,41,1.6,2,0,0,1,9,0,0,68,2.9,1140,18:41,84,82,0,0,,2019-2020,True
565,565,566,Brayden McNabb,29,VEG,D,66,2,7,9,-1,40,1.9,1,0,1,0,7,0,0,59,3.4,1321,20:01,127,191,0,0,,2019-2020,True
566,566,567,Jonathon Merrill,27,VEG,D,48,2,5,7,9,32,2.2,2,0,0,0,4,0,1,37,5.4,884,18:25,71,50,0,0,,2019-2020,True
567,567,568,John Moore,29,BOS,D,22,2,1,3,-1,11,0.7,2,0,0,0,1,0,0,32,6.3,364,16:33,23,31,0,0,,2019-2020,True
568,568,569,Mirco Mueller,24,NJD,D,44,2,4,6,-12,23,0.8,2,0,0,0,3,1,0,25,8.0,751,17:04,77,54,0,0,,2019-2020,True
569,569,570,Ryan Murray,26,CBJ,D,24,2,5,7,-7,4,1.1,2,0,0,0,4,1,0,29,6.9,473,19:43,43,12,0,0,,2019-2020,True
570,570,571,Jordan Oesterle,27,ARI,D,54,2,9,11,-10,14,1.8,2,0,0,0,7,2,0,64,3.1,915,16:57,85,42,0,0,,2019-2020,True
571,571,572,Tucker Poolman,26,WPG,D,52,2,11,13,-6,24,1.9,2,0,0,0,11,0,0,61,3.3,925,17:47,55,52,0,0,,2019-2020,True
572,572,573,Brett Ritchie,26,BOS,RW,27,2,4,6,-3,21,0.2,2,0,0,1,3,1,0,34,5.9,281,10:24,3,89,2,3,40.0,2019-2020,True
573,573,574,Chad Ruhwedel,29,PIT,D,40,2,4,6,4,12,1.6,2,0,0,0,4,0,0,43,4.7,593,14:49,25,73,0,0,,2019-2020,True
574,574,575,Aleksi Saarela,23,FLA,C,8,2,0,2,1,0,0.3,2,0,0,0,0,0,0,13,15.4,97,12:07,2,1,7,11,38.9,2019-2020,True
575,575,576,Luca Sbisa,30,WPG,D,44,2,8,10,1,37,2.0,2,0,0,0,8,0,0,49,4.1,789,17:56,71,91,0,0,,2019-2020,True
576,576,577,Justin Schultz,29,PIT,D,40,2,7,9,-7,6,1.3,2,0,0,0,3,4,0,75,2.7,797,19:55,42,31,0,0,,2019-2020,True
577,577,578,Andrej Sekera,33,DAL,D,53,2,6,8,9,14,3.0,1,0,1,0,6,0,0,58,3.4,961,18:07,72,34,0,0,,2019-2020,True
578,578,579,Logan Shaw,28,WPG,RW,34,2,2,4,-1,0,0.2,2,0,0,0,1,1,0,18,11.1,233,6:51,13,24,11,9,55.0,2019-2020,True
579,579,580,Jonas Siegenthaler,22,WSH,D,59,2,7,9,7,39,2.1,2,0,0,1,7,0,0,44,4.5,934,15:49,94,48,0,0,,2019-2020,True
580,580,581,Givani Smith,21,DET,RW,21,2,1,3,-2,9,0.2,2,0,0,0,1,0,0,22,9.1,203,9:41,3,42,0,0,,2019-2020,True
581,581,582,Marc Staal,33,NYR,D,46,2,8,10,6,16,2.1,2,0,0,0,8,0,0,40,5.0,813,17:40,74,64,0,0,,2019-2020,True
582,582,583,Mitchell Stephens,22,TBL,C,34,2,3,5,-8,8,-0.3,2,0,0,0,3,0,0,40,5.0,365,10:43,7,28,172,154,52.8,2019-2020,True
583,583,584,Michael Stone,29,CGY,D,33,2,5,7,-5,16,1.1,2,0,0,0,5,0,0,57,3.5,539,16:19,54,52,0,0,,2019-2020,True
584,584,585,Chris Tanev,30,VAN,D,63,2,17,19,6,37,3.6,2,0,0,1,15,1,1,40,5.0,1242,19:42,147,31,0,0,,2019-2020,True
585,585,586,Yakov Trenin,23,NSH,C,17,2,4,6,1,7,0.5,2,0,0,0,4,0,0,23,8.7,171,10:04,7,35,2,1,66.7,2019-2020,True
586,586,587,Justin Williams,38,CAR,RW,15,2,3,5,-1,4,0.3,1,1,0,1,2,1,0,38,5.3,202,13:28,5,16,3,5,37.5,2019-2020,True
587,587,588,Vitaly Abramov,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,0,0,0,3,33.3,12,5:47,0,0,0,0,,2019-2020,True
588,588,589,Josh Anderson,25,CBJ,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,3,0,0,63,1.6,418,16:04,13,68,7,12,36.8,2019-2020,True
589,589,590,Anthony Angello,23,PIT,C,7,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,4,25.0,39,5:37,4,12,0,0,,2019-2020,True
590,590,591,Rasmus Asplund,22,BUF,F,29,1,2,3,-4,6,-0.3,1,0,0,0,1,0,1,36,2.8,314,10:50,7,20,49,65,43.0,2019-2020,True
591,591,592,David Backes,35,BOS,C,16,1,2,3,-2,16,0.1,0,1,0,1,2,0,0,26,3.8,137,8:33,4,22,7,10,41.2,2019-2020,True
592,592,593,Rudolfs Balcers,22,OTT,LW,9,1,2,3,4,0,0.4,1,0,0,1,2,0,0,12,8.3,97,10:46,3,13,0,2,0.0,2019-2020,True
593,593,594,Cole Bardreau,26,NYI,F,10,1,1,2,-2,6,0.1,1,0,0,1,1,0,0,10,10.0,89,8:52,1,21,21,29,42.0,2019-2020,True
594,594,595,Nathan Beaulieu,27,WPG,D,33,1,5,6,10,29,2.0,1,0,0,1,5,0,0,30,3.3,556,16:51,40,54,0,0,,2019-2020,True
595,595,596,Jordie Benn,32,VAN,D,43,1,6,7,-6,17,0.9,1,0,0,1,6,0,0,56,1.8,702,16:20,61,41,0,0,,2019-2020,True
596,596,597,Matt Benning,25,EDM,D,37,1,7,8,9,15,2.2,1,0,0,0,7,0,0,33,3.0,491,13:16,30,71,0,0,,2019-2020,True
597,597,598,Nick Bjugstad,27,PIT,C,10,1,0,1,2,8,0.1,1,0,0,0,0,0,0,16,6.3,132,13:14,6,19,34,50,40.5,2019-2020,True
598,598,599,Mikkel Boedker,30,OTT,RW,14,1,2,3,0,0,0.2,1,0,0,0,2,0,0,17,5.9,118,8:26,5,10,0,1,0.0,2019-2020,True
599,599,600,Zach Bogosian,29,TOT,D,21,1,4,5,-4,20,0.6,1,0,0,0,4,0,0,20,5.0,349,16:36,22,25,0,0,,2019-2020,True
600,600,601,Robert Bortuzzo,30,STL,D,38,1,4,5,12,19,1.9,1,0,0,0,4,0,0,33,3.0,500,13:10,40,53,0,0,,2019-2020,True
601,601,602,Jay Bouwmeester,36,STL,D,56,1,8,9,6,20,2.3,1,0,0,0,7,0,1,53,1.9,1208,21:34,68,42,0,0,,2019-2020,True
602,602,603,T.J. Brodie,29,CGY,D,59,1,15,16,6,32,3.5,1,0,0,0,14,1,0,58,1.7,1204,20:24,78,19,0,0,,2019-2020,True
603,603,604,Troy Brouwer,34,STL,RW,13,1,0,1,1,7,0.0,1,0,0,0,0,0,0,12,8.3,123,9:28,6,24,1,1,50.0,2019-2020,True
604,604,605,Logan Brown,21,OTT,C,23,1,7,8,0,4,0.5,0,1,0,1,5,2,0,23,4.3,270,11:45,11,13,55,79,41.0,2019-2020,True
605,605,606,Patrick Brown,27,VEG,C,1,1,0,1,0,0,0.2,1,0,0,0,0,0,0,2,50.0,10,10:04,0,6,0,0,,2019-2020,True
606,606,607,Connor Bunnaman,21,PHI,F,21,1,1,2,7,2,0.2,1,0,0,0,1,0,0,18,5.6,195,9:17,2,29,36,60,37.5,2019-2020,True
607,607,608,Nicholas Caamano,21,DAL,RW,12,1,1,2,2,4,0.2,1,0,0,0,1,0,0,13,7.7,120,9:58,3,17,1,1,50.0,2019-2020,True
608,608,609,Kyle Capobianco,22,ARI,D,9,1,0,1,-1,2,0.3,1,0,0,0,0,0,0,10,10.0,133,14:46,10,14,0,0,,2019-2020,True
609,609,610,Daniel Carr,28,NSH,LW,11,1,0,1,-5,4,-0.2,1,0,0,0,0,0,0,14,7.1,114,10:20,2,10,0,1,0.0,2019-2020,True
610,610,611,Sam Carrick,27,ANA,C,9,1,1,2,-3,0,0.0,0,0,1,0,1,0,0,16,6.3,124,13:46,8,13,33,39,45.8,2019-2020,True
611,611,612,Colby Cave,25,EDM,C,11,1,0,1,-3,4,-0.1,1,0,0,0,0,0,0,5,20.0,106,9:39,3,17,36,41,46.8,2019-2020,True
612,612,613,Cody Ceci,26,TOR,D,54,1,7,8,8,20,1.7,1,0,0,1,7,0,0,47,2.1,1115,20:38,75,88,0,0,,2019-2020,True
613,613,614,Braydon Coburn,34,TBL,D,35,1,1,2,1,14,0.6,1,0,0,0,1,0,0,36,2.8,481,13:45,24,54,0,0,,2019-2020,True
614,614,615,Calvin de Haan,28,CHI,D,29,1,5,6,10,10,1.9,1,0,0,0,5,0,0,42,2.4,577,19:55,73,93,0,0,,2019-2020,True
615,615,616,Phillip Di Giuseppe,26,NYR,LW,14,1,2,3,1,0,0.1,1,0,0,0,2,0,0,23,4.3,156,11:10,12,32,0,2,0.0,2019-2020,True
616,616,617,Brenden Dillon,29,TOT,D,64,1,13,14,-1,91,3.2,1,0,0,0,12,0,1,54,1.9,1239,19:22,70,190,0,0,,2019-2020,True
617,617,618,Noah Dobson,20,NYI,D,31,1,4,5,-3,6,0.8,1,0,0,0,3,1,0,33,3.0,412,13:18,28,21,0,0,,2019-2020,True
618,618,619,Brian Dumoulin,28,PIT,D,23,1,6,7,17,8,2.5,0,0,1,0,5,1,0,33,3.0,484,21:04,27,39,0,0,,2019-2020,True
619,619,620,Christoffer Ehn,23,DET,C,53,1,2,3,-22,2,-1.1,1,0,0,0,2,0,0,35,2.9,554,10:27,18,58,96,130,42.5,2019-2020,True
620,620,621,Deryk Engelland,37,VEG,D,49,1,5,6,6,37,1.7,1,0,0,1,4,0,1,59,1.7,860,17:33,86,114,0,0,,2019-2020,True
621,621,622,Jake Evans,23,MTL,C,8,1,0,1,2,0,0.2,1,0,0,0,0,0,0,5,20.0,77,9:40,3,12,8,10,44.4,2019-2020,True
622,622,623,Oscar Fantenberg,28,VAN,D,30,1,3,4,-6,6,0.4,1,0,0,0,2,1,0,42,2.4,480,16:00,54,56,0,0,,2019-2020,True
623,623,624,Micheal Ferland,27,VAN,LW,14,1,4,5,-3,7,0.2,1,0,0,0,4,0,0,15,6.7,137,9:48,2,40,2,0,100.0,2019-2020,True
624,624,625,Cale Fleury,21,MTL,D,41,1,0,1,-4,6,0.4,1,0,0,0,0,0,0,45,2.2,588,14:21,45,102,0,0,,2019-2020,True
625,625,626,Christian Folin,28,MTL,D,11,1,1,2,1,4,0.5,1,0,0,0,1,0,0,9,11.1,164,14:55,13,27,0,0,,2019-2020,True
626,626,627,Cameron Gaunce,29,TBL,D,3,1,3,4,2,4,0.7,1,0,0,0,3,0,0,5,20.0,36,11:52,2,5,0,0,,2019-2020,True
627,627,628,Dennis Gilbert,23,CHI,D,20,1,2,3,-8,38,0.0,1,0,0,0,2,0,0,12,8.3,316,15:49,33,72,0,0,,2019-2020,True
628,628,629,Cody Goloubef,30,TOT,D,26,1,1,2,-3,8,0.4,1,0,0,0,1,0,0,18,5.6,395,15:11,24,45,0,0,,2019-2020,True
629,629,630,David Gustafsson,19,WPG,C,22,1,0,1,-2,0,-0.1,1,0,0,1,0,0,0,4,25.0,135,6:09,6,5,34,29,54.0,2019-2020,True
630,630,631,Nicolas Hague,21,VEG,D,38,1,10,11,0,32,1.6,0,1,0,0,7,3,0,54,1.9,611,16:05,26,69,0,0,,2019-2020,True
631,631,632,Ron Hainsey,38,OTT,D,58,1,11,12,11,12,3.1,1,0,0,1,8,0,3,38,2.6,1189,20:29,89,46,0,0,,2019-2020,True
632,632,633,Micheal Haley,33,NYR,C,22,1,0,1,-7,50,-0.3,1,0,0,0,0,0,0,9,11.1,122,5:32,6,36,7,5,58.3,2019-2020,True
633,633,634,Scott Harrington,26,CBJ,D,37,1,6,7,-4,16,1.3,1,0,0,0,6,0,0,35,2.9,516,13:56,47,45,0,0,,2019-2020,True
634,634,635,Jayce Hawryluk,24,TOT,C,20,1,4,5,-1,12,0.2,1,0,0,0,4,0,0,16,6.3,211,10:34,8,52,0,5,0.0,2019-2020,True
635,635,636,Barrett Hayton,19,ARI,C,17,1,3,4,2,14,0.3,1,0,0,1,3,0,0,26,3.8,194,11:24,3,13,18,24,42.9,2019-2020,True
636,636,637,Tim Heed,29,SJS,D,32,1,2,3,-7,2,0.5,1,0,0,0,2,0,0,38,2.6,396,12:22,26,15,0,1,0.0,2019-2020,True
637,637,638,Ville Heinola,18,WPG,D,8,1,4,5,3,4,1.0,1,0,0,0,3,1,0,10,10.0,145,18:04,5,3,0,0,,2019-2020,True
638,638,639,Niklas Hjalmarsson,32,ARI,D,23,1,3,4,-4,8,0.8,1,0,0,0,2,0,1,14,7.1,430,18:41,42,16,0,0,,2019-2020,True
639,639,640,Korbinian Holzer,31,ANA,D,46,1,3,4,-1,35,1.3,1,0,0,0,2,0,1,35,2.9,746,16:14,85,90,0,0,,2019-2020,True
640,640,641,Adam Johnson,25,PIT,C,7,1,1,2,-1,2,0.2,1,0,0,0,1,0,0,5,20.0,47,6:42,3,4,0,0,,2019-2020,True
641,641,642,Erik Johnson,31,COL,D,52,1,10,11,6,14,1.9,1,0,0,0,10,0,0,89,1.1,1085,20:51,100,83,0,0,,2019-2020,True
642,642,643,Vladislav Kamenev,23,COL,LW,32,1,7,8,1,4,0.4,1,0,0,1,5,2,0,27,3.7,294,9:11,16,25,48,42,53.3,2019-2020,True
643,643,644,David Kase,23,PHI,RW,6,1,0,1,1,0,0.1,1,0,0,1,0,0,0,5,20.0,59,9:47,1,4,1,0,100.0,2019-2020,True
644,644,645,Martin Kaut,20,COL,RW,5,1,1,2,-1,0,0.2,0,1,0,0,1,0,0,6,16.7,52,10:25,0,7,0,0,,2019-2020,True
645,645,646,Joel Kiviranta,23,DAL,F,11,1,0,1,-1,4,0.0,1,0,0,0,0,0,0,13,7.7,117,10:39,3,17,0,0,,2019-2020,True
646,646,647,Slater Koekkoek,25,CHI,D,36,1,8,9,5,42,1.8,1,0,0,1,8,0,0,40,2.5,595,16:32,49,60,0,0,,2019-2020,True
647,647,648,Egor Korshkov,23,TOR,F,1,1,0,1,1,0,0.2,1,0,0,0,0,0,0,1,100.0,10,10:08,0,1,0,0,,2019-2020,True
648,648,649,Klim Kostin,20,STL,C; LW,4,1,0,1,1,0,0.2,1,0,0,0,0,0,0,5,20.0,34,8:32,0,6,0,0,,2019-2020,True
649,649,650,Karson Kuhlman,24,BOS,C,24,1,5,6,3,13,0.3,0,1,0,0,5,0,0,44,2.3,301,12:34,8,35,1,2,33.3,2019-2020,True
650,650,651,Dean Kukan,26,CBJ,D,33,1,4,5,-9,12,0.7,0,1,0,0,4,0,0,51,2.0,527,15:58,28,24,0,0,,2019-2020,True
651,651,652,Joel L'Esperance,24,DAL,RW,3,1,0,1,0,2,0.2,1,0,0,0,0,0,0,2,50.0,22,7:21,1,1,0,1,0.0,2019-2020,True
652,652,653,Adam Larsson,27,EDM,D,42,1,4,5,-4,33,1.3,1,0,0,0,4,0,0,52,1.9,827,19:42,70,86,0,0,,2019-2020,True
653,653,654,Jeremy Lauzon,22,BOS,D,14,1,1,2,5,25,0.9,1,0,0,0,1,0,0,15,6.7,215,15:21,16,25,0,0,,2019-2020,True
654,654,655,Maxim Letunov,23,SJS,C,3,1,0,1,0,0,0.2,1,0,0,0,0,0,0,3,33.3,27,9:05,1,0,3,3,50.0,2019-2020,True
655,655,656,Ryan Lindgren,21,NYR,D,54,1,13,14,15,41,3.2,1,0,0,0,13,0,0,39,2.6,897,16:36,64,84,0,0,,2019-2020,True
656,656,657,Matt Luff,22,LAK,RW,18,1,4,5,-5,2,0.1,1,0,0,0,4,0,0,25,4.0,187,10:22,5,16,0,3,0.0,2019-2020,True
657,657,658,Josh Mahura,21,ANA,D,11,1,3,4,-3,2,0.5,1,0,0,0,3,0,0,11,9.1,179,16:14,11,2,0,0,,2019-2020,True
